name,date_of_birth,date_of_death,cause_of_death,fame,age,sources,wikipedia_url
Anton Yelchin,"March 11, 1989","June 19, 2016",Car accident,"Actor, Chekov in the Star Trek reboot series","27 years, 100 days",[ 44 ] [ 95 ],https://en.wikipedia.org/wiki/Anton_Yelchin
Shot,"December 1, 1989","September 21, 2017",Diabetes,Russian rapper,"27 years, 294 days",[ 96 ],https://en.wikipedia.org/wiki/Shot_(rapper)
Kim Jong-hyun,"April 8, 1990","December 18, 2017",Suicide,Vocalist and lyricist of Shinee,"27 years, 254 days",[ 97 ] [ 98 ],https://en.wikipedia.org/wiki/Kim_Jong-hyun_(singer)
Fredo Santana,"July 4, 1990","January 19, 2018",Idiopathic epilepsy,American rapper,"27 years, 199 days",[ 99 ] [ 100 ],https://en.wikipedia.org/wiki/Fredo_Santana
Tyler Skaggs,"July 13, 1991","July 1, 2019",Asphyxia due to drug use,American professional baseball starting pitcher,"27 years, 353 days",[ 87 ],https://en.wikipedia.org/wiki/Tyler_Skaggs
Benjamin Keough,"October 21, 1992","July 12, 2020",Suicide,"Elvis Presley 's grandson, son of Lisa Marie Presley and brother of Riley Keough","27 years, 265 days",[ 87 ],https://en.wikipedia.org/wiki/Benjamin_Keough
Murda Killa [ ru ],"March 9, 1993","July 13, 2020",Asthma attack provoked by the use of alcohol and antidepressants,Russian rapper,"27 years, 127 days",[ 101 ],https://en.wikipedia.org/wiki/Murda_Killa?action=edit&redlink=1
Yoo Ju-eun [ ko ],"May 3, 1995","August 29, 2022",Suicide,Korean actress,"27 years, 118 days",[ 102 ],https://en.wikipedia.org/wiki/Yoo_Ju-eun?action=edit&redlink=1
Walkie,"May 24, 1995","September 30, 2022",Suicide,Russian battle rapper,"27 years, 129 days",[ 103 ],https://en.wikipedia.org/wiki/Walkie_(rapper)
Yung Trappa [ ru ],"August 14, 1995","February 2, 2023",Overdose,Russian rapper,"27 years, 172 days",[ 104 ],https://en.wikipedia.org/wiki/Yung_Trappa?action=edit&redlink=1
Julián Figueroa [ es ],"May 27, 1995","April 2, 2023",Myocardial infarction and Ventricular fibrillation,"Singer, actor, and composer","27 years, 310 days",[ 105 ] [ 106 ],https://en.wikipedia.org/wiki/Juli%C3%A1n_Figueroa?action=edit&redlink=1
MohBad,"January 3, 1996","September 12, 2023",Undetermined,Nigerian rapper,"27 years, 252 days",[ 107 ],https://en.wikipedia.org/wiki/MohBad
Chance Perdomo,"October 19, 1996","March 30, 2024",Motorcycle crash,Actor,"27 years, 163 days",[ 108 ] [ 109 ],https://en.wikipedia.org/wiki/Chance_Perdomo
Cole Brings Plenty,1996,"April 5, 2024",TBD,Actor,TBC,[ 110 ],https://en.wikipedia.org/wiki/Cole_Brings_Plenty
Dutty Dior,"November 30, 1996","April 6, 2024",TBD,"Singer, rapper, and songwriter","27 years, 128 days",[ 111 ],https://en.wikipedia.org/wiki/Dutty_Dior
