name,wikipedia_url,wikidata_id,birth_date,death_date,cause_of_death,manner_of_death,age_status,minimum_lifespan_days,maximum_lifespan_days,possible_age_range,leaf_occupations
Pinetop Sparks,https://en.wikipedia.org/wiki/Pinetop_Sparks,Q16026285,1910-05-22,1935-11-05,,,possible,9298,9298,"25 years, 167 days",pianist
Robert Johnson,https://en.wikipedia.org/wiki/Robert_Johnson,Q192133,1911-05-08,1938-08-16,,homicide,confirmed,9962,9962,"27 years, 100 days",blues singer; guitarist; singer-songwriter
Helmut Bräutigam,https://en.wikipedia.org/wiki/Helmut_Br%C3%A4utigam,Q1519189,1914-02-16,1942-01-17,,,confirmed,10197,10197,"27 years, 335 days",composer
Karlrobert Kreiten,https://en.wikipedia.org/wiki/Karlrobert_Kreiten,Q95432,1916-06-26,1943; 1943-09-07,hanging to death,capital punishment,confirmed,9685,10049,"26 years, 189 days to 27 years, 188 days",pianist
María Scheller Zambrano,https://en.wikipedia.org/wiki/Mar%C3%ADa_Scheller_Zambrano,Q59662067,1917,1944,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",composer
Nat Jaffe,https://en.wikipedia.org/wiki/Nat_Jaffe,Q1752427,1918-01-01,1945-08-05,,,confirmed,10078,10078,"27 years, 216 days",jazz musician; pianist
Roekiah,https://en.wikipedia.org/wiki/Roekiah,Q6116223,1917,1945-09-02,,,confirmed,10107,10471,"27 years, 245 days to 28 years, 244 days",singer
Parviz Rustambayov,https://en.wikipedia.org/wiki/Parviz_Rustambeyov,Q12844091,1922-01-07,1949-12-29,,,confirmed,10218,10218,"27 years, 356 days",jazz musician; saxophonist
Buddy Stewart,https://en.wikipedia.org/wiki/Buddy_Stewart,Q179616,1922,1950-02-01,,,confirmed,9894,10258,"27 years, 32 days to 28 years, 31 days",jazz musician; singer
"Jimmy ""Jammin'"" Smith",https://en.wikipedia.org/wiki/Jimmy_%22Jammin%27%22_Smith,Q6199455,1926,1953,,,confirmed,9498,10226,"26 years, 1 day to 27 years, 364 days",jazz musician
Bob Gordon,https://en.wikipedia.org/wiki/Bob_Gordon_(saxophonist),Q112884,1928-06-11,1955-08-28,traffic collision,,confirmed,9939,9939,"27 years, 78 days",clarinetist; jazz musician; saxophonist
Rigoberto López Pérez,https://en.wikipedia.org/wiki/Rigoberto_L%C3%B3pez_P%C3%A9rez,Q1394538,1929-05-13,1956-09-21,gunshot wound,,confirmed,9993,9993,"27 years, 131 days",composer
Paul Gilley,https://en.wikipedia.org/wiki/Paul_Gilley,Q57955112,1929-10-01,1957-06-16,drowning,,confirmed,10120,10120,"27 years, 258 days",songwriter
